#Wavelength (micron)	Flux (W/m2/micron)
5.551000e-02	5.693171e-33
5.552000e-02	5.800245e-33
5.553000e-02	5.909291e-33
5.554000e-02	6.020349e-33
5.555000e-02	6.133451e-33
5.556000e-02	6.248634e-33
5.557000e-02	6.365938e-33
5.558000e-02	6.485398e-33
5.559000e-02	6.607055e-33
5.560000e-02	6.730948e-33
5.561000e-02	6.857117e-33
5.562000e-02	6.985604e-33
5.563000e-02	7.116450e-33
5.564000e-02	7.249697e-33
5.565000e-02	7.385387e-33
5.566000e-02	7.523568e-33
5.567000e-02	7.664280e-33
5.568000e-02	7.807571e-33
5.569000e-02	7.953487e-33
5.570000e-02	8.102075e-33
5.571000e-02	8.253380e-33
5.572000e-02	8.407459e-33
5.573000e-02	8.564354e-33
5.574000e-02	8.724117e-33
5.575000e-02	8.886800e-33
5.576000e-02	9.052455e-33
