#observation description
#name
GJ570D SpeX

#type
spectroscopy

#filter transmission function
None

#wavelength     flux            error           profile fwhm     weight
8.546470e-01    1.067250e-16    4.268400e-17    1.039500e-02     1
8.577970e-01    1.554700e-17    6.090700e-17    1.045770e-02     0
8.609660e-01    2.235860e-16    1.419440e-16    1.052370e-02     0
8.641550e-01    9.457600e-17    1.087830e-16    1.058970e-02     1
8.673640e-01    2.628640e-16    1.121910e-16    1.064910e-02     0
8.705910e-01    2.536920e-16    3.449900e-17    1.071510e-02     0
8.738380e-01    1.915240e-16    4.122700e-17    1.077780e-02     1
8.771040e-01    2.369350e-16    1.440910e-16    1.084050e-02     0
8.803890e-01    2.678520e-16    1.319020e-16    1.090320e-02     0
8.836930e-01    3.016220e-16    1.434050e-16    1.096260e-02     1
