# Average Spectral response for LaSilla/GROND K band

#Detector Type
Energy counter

#Wavelength    Filter Response
1.9820         0.0413000000
1.9830         0.0445000000
1.9840         0.0481000000
1.9850         0.0520000000
1.9860         0.0561000000
1.9870         0.0606000000
1.9880         0.0652000000
1.9890         0.0700000000
1.9900         0.0751000000
1.9910         0.0808000000
1.9920         0.0870000000
1.9930         0.0931000000
1.9940         0.0996000000
1.9950         0.1065000000
1.9960         0.1138000000
1.9970         0.1216000000
1.9980         0.1298000000
