#The solar chemical composition Asplund et al 2009:
e-  0.0
Al  6.45
Ar  6.40
C   8.43
Ca  6.34
Cl  5.50
Co  4.99
Cr  5.64
Cu  4.19
F   4.56
Fe  7.50
Ge  3.65
H   12.00
He  10.93
K   5.03
Mg  7.60
Mn  5.43
N   7.83
Na  6.24
Ne  7.93
Ni  6.22
O   8.69
P   5.41
S   7.12
Si  7.51
Ti  4.95
V   3.93
Zn  4.56
Li  1.05
Be  1.38
B   2.70
Sc  3.15
Kr  3.25
Ga  3.04
As  2.30
Se  3.34
Br  2.54
Rb  2.52
Sr  2.87
Y   2.21
Zr  2.58
Sn  2.04
Te  2.18
Xe  2.24
Ba  2.18
Pb  1.75

