# Average Spectral response curve for CFHT Wircam H filter

#Detector Type
Energy counter

# Wave (microns)     Filter Response
1.4585               0.0049300000
1.4590               0.0055100000
1.4595               0.0058700000
1.4600               0.0063900000
1.4605               0.0067100000
1.4610               0.0073500000
1.4615               0.0078000000
1.4620               0.0083600000
1.4625               0.0092000000
1.4630               0.0098100000
1.4635               0.0105600000
1.4640               0.0116700000
1.4645               0.0128500000
1.4650               0.0140400000
1.4655               0.0154900000
1.4660               0.0170000000
1.4665               0.0187800000
1.4670               0.0209000000
1.4675               0.0233900000
1.4680               0.0261700000
1.4685               0.0292100000
1.4690               0.0325200000
1.4695               0.0363600000
1.4700               0.0408300000
1.4705               0.0459400000
1.4710               0.0512200000
1.4715               0.0571000000
1.4720               0.0631400000
1.4725               0.0703300000
1.4730               0.0779900000
1.4735               0.0867300000
1.4740               0.0955800000
1.4745               0.1051600000
1.4750               0.1156000000
1.4755               0.1269500000
1.4760               0.1393400000
1.4765               0.1523300000
1.4770               0.1660200000
1.4775               0.1802800000
1.4780               0.1954300000
1.4785               0.2117500000
1.4790               0.2281000000
1.4795               0.2454500000
1.4800               0.2631400000
1.4805               0.2818500000
1.4810               0.3009900000
1.4815               0.3205400000
1.4820               0.3409000000
1.4825               0.3614000000
1.4830               0.3827700000
1.4835               0.4044800000
1.4840               0.4265400000
1.4845               0.4487900000
1.4850               0.4713300000
1.4855               0.4944500000
1.4860               0.5175200000
1.4865               0.5406500000
1.4870               0.5638900000
1.4875               0.5871600000
1.4880               0.6102800000
1.4885               0.6331600000
1.4890               0.6559000000
1.4895               0.6780500000
1.4900               0.6993700000
1.4905               0.7203400000
1.4910               0.7405100000
1.4915               0.7595800000
1.4920               0.7777400000
1.4925               0.7946800000
1.4930               0.8103300000
1.4935               0.8250000000
1.4940               0.8388500000
1.4945               0.8511200000
1.4950               0.8624400000
1.4955               0.8727100000
1.4960               0.8825400000
1.4965               0.8912000000
1.4970               0.8990300000
1.4975               0.9056700000
1.4980               0.9114800000
1.4985               0.9166700000
1.4990               0.9213400000
1.4995               0.9250200000
1.5000               0.9282200000
1.5005               0.9309400000
1.5010               0.9334600000
1.5015               0.9355600000
1.5020               0.9375300000
1.5025               0.9390400000
1.5030               0.9404400000
1.5035               0.9417300000
1.5040               0.9426700000
1.5045               0.9435100000
1.5050               0.9444400000
1.5055               0.9456800000
1.5060               0.9469300000
1.5065               0.9480400000
1.5070               0.9489700000
1.5075               0.9498000000
1.5080               0.9507400000
1.5085               0.9518600000
1.5090               0.9526200000
1.5095               0.9529600000
1.5100               0.9534000000
1.5105               0.9540100000
1.5110               0.9546400000
1.5115               0.9552900000
1.5120               0.9555800000
1.5125               0.9557000000
1.5130               0.9560400000
1.5135               0.9561900000
1.5140               0.9561200000
1.5145               0.9560700000
1.5150               0.9559300000
1.5155               0.9557500000
1.5160               0.9554700000
1.5165               0.9551800000
1.5170               0.9552300000
1.5175               0.9548800000
1.5180               0.9547000000
1.5185               0.9539600000
1.5190               0.9532200000
1.5195               0.9527700000
1.5200               0.9522100000
1.5205               0.9516400000
1.5210               0.9511600000
1.5215               0.9510300000
1.5220               0.9508200000
1.5225               0.9510500000
1.5230               0.9509900000
1.5235               0.9509100000
1.5240               0.9508700000
1.5245               0.9507000000
1.5250               0.9502900000
1.5255               0.9497700000
1.5260               0.9494800000
1.5265               0.9489900000
1.5270               0.9487800000
1.5275               0.9489000000
1.5280               0.9490400000
1.5285               0.9492000000
1.5290               0.9494800000
1.5295               0.9500100000
1.5300               0.9503200000
1.5305               0.9507100000
1.5310               0.9511900000
1.5315               0.9513200000
1.5320               0.9515800000
1.5325               0.9516600000
1.5330               0.9517100000
1.5335               0.9516300000
1.5340               0.9517200000
1.5345               0.9516100000
1.5350               0.9517200000
1.5355               0.9518300000
1.5360               0.9522200000
1.5365               0.9523600000
1.5370               0.9523800000
1.5375               0.9523300000
1.5380               0.9525300000
1.5385               0.9529700000
1.5390               0.9534300000
1.5395               0.9538000000
1.5400               0.9536400000
1.5405               0.9537500000
1.5410               0.9543800000
1.5415               0.9549900000
1.5420               0.9548300000
1.5425               0.9548000000
1.5430               0.9546500000
1.5435               0.9543200000
1.5440               0.9546400000
1.5445               0.9551100000
1.5450               0.9550200000
1.5455               0.9550600000
1.5460               0.9556400000
1.5465               0.9560100000
1.5470               0.9563800000
1.5475               0.9565600000
1.5480               0.9565400000
1.5485               0.9563000000
1.5490               0.9560500000
1.5495               0.9558600000
1.5500               0.9555800000
1.5505               0.9553400000
1.5510               0.9549400000
1.5515               0.9548600000
1.5520               0.9546800000
1.5525               0.9546100000
1.5530               0.9547100000
1.5535               0.9546800000
1.5540               0.9545900000
1.5545               0.9547900000
1.5550               0.9547300000
1.5555               0.9547600000
1.5560               0.9543900000
1.5565               0.9541800000
1.5570               0.9536600000
1.5575               0.9536600000
1.5580               0.9535400000
1.5585               0.9528400000
1.5590               0.9526500000
1.5595               0.9524200000
1.5600               0.9526100000
1.5605               0.9527700000
1.5610               0.9529900000
1.5615               0.9525000000
1.5620               0.9523600000
1.5625               0.9523600000
1.5630               0.9526400000
1.5635               0.9528000000
1.5640               0.9530600000
1.5645               0.9533700000
1.5650               0.9537400000
1.5655               0.9541300000
1.5660               0.9545400000
1.5665               0.9553700000
1.5670               0.9557800000
1.5675               0.9561200000
1.5680               0.9564400000
1.5685               0.9566500000
1.5690               0.9570000000
1.5695               0.9574000000
1.5700               0.9577000000
1.5705               0.9580100000
1.5710               0.9582100000
1.5715               0.9586300000
1.5720               0.9586600000
1.5725               0.9589400000
1.5730               0.9594100000
1.5735               0.9600400000
1.5740               0.9604200000
1.5745               0.9606000000
1.5750               0.9608600000
1.5755               0.9609100000
1.5760               0.9612000000
1.5765               0.9614400000
1.5770               0.9618400000
1.5775               0.9620100000
1.5780               0.9625500000
1.5785               0.9628600000
1.5790               0.9634700000
1.5795               0.9639700000
1.5800               0.9643900000
1.5805               0.9650700000
1.5810               0.9648900000
1.5815               0.9649700000
1.5820               0.9649000000
1.5825               0.9650100000
1.5830               0.9648100000
1.5835               0.9648300000
1.5840               0.9651800000
1.5845               0.9647100000
1.5850               0.9649000000
1.5855               0.9651800000
1.5860               0.9654100000
1.5865               0.9655500000
1.5870               0.9658200000
1.5875               0.9657400000
1.5880               0.9655300000
1.5885               0.9657900000
1.5890               0.9660800000
1.5895               0.9661700000
1.5900               0.9662000000
1.5905               0.9662900000
1.5910               0.9664300000
1.5915               0.9668400000
1.5920               0.9670700000
1.5925               0.9673600000
1.5930               0.9672500000
1.5935               0.9671600000
1.5940               0.9675400000
1.5945               0.9679400000
1.5950               0.9680800000
1.5955               0.9682900000
1.5960               0.9684100000
1.5965               0.9683800000
1.5970               0.9684900000
1.5975               0.9682800000
1.5980               0.9679300000
1.5985               0.9675800000
1.5990               0.9672500000
1.5995               0.9669500000
1.6000               0.9664200000
1.6005               0.9660300000
1.6010               0.9657100000
1.6015               0.9654700000
1.6020               0.9648600000
1.6025               0.9642900000
1.6030               0.9635200000
1.6035               0.9628400000
1.6040               0.9625100000
1.6045               0.9617600000
1.6050               0.9612600000
1.6055               0.9606600000
1.6060               0.9601100000
1.6065               0.9591400000
1.6070               0.9586800000
1.6075               0.9575000000
1.6080               0.9566700000
1.6085               0.9561200000
1.6090               0.9550300000
1.6095               0.9547700000
1.6100               0.9540900000
1.6105               0.9541800000
1.6110               0.9536600000
1.6115               0.9538700000
1.6120               0.9534300000
1.6125               0.9529600000
1.6130               0.9526200000
1.6135               0.9521200000
1.6140               0.9521500000
1.6145               0.9518000000
1.6150               0.9515400000
1.6155               0.9508800000
1.6160               0.9506800000
1.6165               0.9508400000
1.6170               0.9507100000
1.6175               0.9509600000
1.6180               0.9508800000
1.6185               0.9512200000
1.6190               0.9513700000
1.6195               0.9519800000
1.6200               0.9521900000
1.6205               0.9523600000
