# Average Spectral response curve for CFHT Wircam Ks filter

#Detector Type
Energy counter

# Wave (microns)     Filter Response
1.9525               0.0039800000
1.9530               0.0043800000
1.9535               0.0041800000
1.9540               0.0053900000
1.9545               0.0059800000
1.9550               0.0065800000
1.9555               0.0059500000
1.9560               0.0075400000
1.9565               0.0073100000
1.9570               0.0082900000
1.9575               0.0090600000
1.9580               0.0104200000
1.9585               0.0117600000
1.9590               0.0138700000
1.9595               0.0156100000
1.9600               0.0157800000
1.9605               0.0171400000
1.9610               0.0177000000
1.9615               0.0194200000
1.9620               0.0205700000
1.9625               0.0228300000
1.9630               0.0237600000
1.9635               0.0243100000
1.9640               0.0264100000
1.9645               0.0294000000
1.9650               0.0318800000
1.9655               0.0351300000
1.9660               0.0384100000
1.9665               0.0410900000
1.9670               0.0443700000
1.9675               0.0485800000
1.9680               0.0513800000
1.9685               0.0548400000
1.9690               0.0583300000
1.9695               0.0616000000
1.9700               0.0664100000
1.9705               0.0702200000
1.9710               0.0755200000
1.9715               0.0819100000
1.9720               0.0894800000
1.9725               0.0947000000
1.9730               0.1026800000
1.9735               0.1101100000
1.9740               0.1162300000
1.9745               0.1246600000
1.9750               0.1325400000
1.9755               0.1413400000
1.9760               0.1504100000
1.9765               0.1612400000
1.9770               0.1702400000
1.9775               0.1812400000
1.9780               0.1929800000
1.9785               0.2056300000
1.9790               0.2184800000
1.9795               0.2320100000
1.9800               0.2452200000
1.9805               0.2599300000
1.9810               0.2756000000
1.9815               0.2916400000
1.9820               0.3097500000
1.9825               0.3280900000
1.9830               0.3473400000
1.9835               0.3668800000
1.9840               0.3869300000
1.9845               0.4078500000
1.9850               0.4285900000
1.9855               0.4511600000
1.9860               0.4717100000
1.9865               0.4921700000
1.9870               0.5131400000
1.9875               0.5339100000
1.9880               0.5551600000
1.9885               0.5769700000
1.9890               0.6006800000
1.9895               0.6223100000
1.9900               0.6440700000
1.9905               0.6655400000
1.9910               0.6859400000
1.9915               0.7072100000
1.9920               0.7271000000
1.9925               0.7450400000
1.9930               0.7604800000
1.9935               0.7751300000
1.9940               0.7900400000
1.9945               0.8041500000
1.9950               0.8171100000
1.9955               0.8291500000
1.9960               0.8414300000
1.9965               0.8537300000
1.9970               0.8644000000
1.9975               0.8740500000
1.9980               0.8830400000
1.9985               0.8907500000
1.9990               0.8991900000
1.9995               0.9044000000
2.0000               0.9096700000
2.0005               0.9118800000
2.0010               0.9166600000
2.0015               0.9208200000
2.0020               0.9241200000
2.0025               0.9262500000
2.0030               0.9283100000
2.0035               0.9307600000
2.0040               0.9325100000
2.0045               0.9350400000
2.0050               0.9359600000
2.0055               0.9372400000
2.0060               0.9400500000
2.0065               0.9437400000
2.0070               0.9458000000
2.0075               0.9477800000
2.0080               0.9496200000
2.0085               0.9506500000
2.0090               0.9527700000
2.0095               0.9534300000
2.0100               0.9534100000
2.0105               0.9518600000
2.0110               0.9528800000
2.0115               0.9545100000
2.0120               0.9556700000
2.0125               0.9574300000
2.0130               0.9591200000
2.0135               0.9619900000
2.0140               0.9635600000
2.0145               0.9663700000
2.0150               0.9684400000
2.0155               0.9697400000
2.0160               0.9708100000
2.0165               0.9713400000
2.0170               0.9711000000
2.0175               0.9702900000
2.0180               0.9711900000
2.0185               0.9711600000
2.0190               0.9706400000
2.0195               0.9702000000
2.0200               0.9712100000
2.0205               0.9709300000
2.0210               0.9721200000
2.0215               0.9732700000
2.0220               0.9717100000
2.0225               0.9708700000
2.0230               0.9695400000
2.0235               0.9681400000
2.0240               0.9640200000
2.0245               0.9631500000
2.0250               0.9619300000
2.0255               0.9597500000
2.0260               0.9595000000
2.0265               0.9588500000
2.0270               0.9585700000
2.0275               0.9590000000
2.0280               0.9609100000
2.0285               0.9624300000
2.0290               0.9619600000
2.0295               0.9630300000
2.0300               0.9618400000
2.0305               0.9614000000
2.0310               0.9594000000
2.0315               0.9586600000
2.0320               0.9580800000
2.0325               0.9567100000
2.0330               0.9547100000
2.0335               0.9529600000
2.0340               0.9532300000
2.0345               0.9526700000
2.0350               0.9534800000
2.0355               0.9537500000
2.0360               0.9524100000
2.0365               0.9509900000
2.0370               0.9503500000
2.0375               0.9503000000
2.0380               0.9495800000
2.0385               0.9496200000
2.0390               0.9489600000
2.0395               0.9472500000
2.0400               0.9461500000
2.0405               0.9466700000
2.0410               0.9481800000
2.0415               0.9490200000
2.0420               0.9499700000
2.0425               0.9499200000
2.0430               0.9488500000
2.0435               0.9489400000
2.0440               0.9507600000
2.0445               0.9509000000
2.0450               0.9500100000
2.0455               0.9487300000
2.0460               0.9464000000
2.0465               0.9446700000
2.0470               0.9444000000
2.0475               0.9437000000
2.0480               0.9435400000
2.0485               0.9410100000
2.0490               0.9400200000
2.0495               0.9397300000
2.0500               0.9388300000
2.0505               0.9390100000
2.0510               0.9396400000
2.0515               0.9406100000
2.0520               0.9384800000
2.0525               0.9407500000
2.0530               0.9414200000
2.0535               0.9425700000
2.0540               0.9446100000
2.0545               0.9474800000
2.0550               0.9481000000
2.0555               0.9476600000
2.0560               0.9494300000
2.0565               0.9494800000
2.0570               0.9495200000
2.0575               0.9483000000
