# Average Spectral response curve for JWST MIRI F1500W

#Detector Type
Photon counter

# Wave (microns)     Filter Response
12.7740 0.0001
12.7800 0.0001
12.7860 0.0001
12.7910 0.0001
12.7970 0.0001
12.8030 0.0002
12.8090 0.0002
12.8150 0.0002
12.8200 0.0002
12.8260 0.0002
12.8320 0.0002
12.8380 0.0003
12.8440 0.0003
12.8490 0.0003
12.8550 0.0003
12.8610 0.0003
12.8670 0.0003
12.8730 0.0003
12.8780 0.0004
12.8840 0.0004
12.8900 0.0004
12.8960 0.0004
12.9020 0.0005
12.9070 0.0005
12.9130 0.0005
12.9190 0.0006
12.9250 0.0006
12.9310 0.0007
12.9360 0.0007
12.9420 0.0007
12.9480 0.0008
12.9540 0.0008
12.9600 0.0009
12.9650 0.0009
12.9710 0.001
12.9770 0.001
12.9830 0.0011
12.9890 0.0011
12.9940 0.0012
13.0000 0.0012
13.0060 0.0013
13.0120 0.0014
13.0180 0.0015
13.0230 0.0015
13.0290 0.0016
13.0350 0.0017
13.0410 0.0018
13.0470 0.0019
13.0520 0.002
13.0580 0.0021
13.0640 0.0023
13.0700 0.0024
13.0760 0.0025
13.0810 0.0026
13.0870 0.0028
13.0930 0.0029
13.0990 0.0031
13.1050 0.0032
13.1100 0.0034
13.1160 0.0036
13.1220 0.0038
13.1280 0.004
13.1340 0.0042
13.1390 0.0044
13.1450 0.0047
13.1510 0.005
13.1570 0.0053
13.1630 0.0056
13.1680 0.0059
13.1740 0.0062
13.1800 0.0066
13.1860 0.007
13.1920 0.0074
13.1970 0.0078
13.2030 0.0083
13.2090 0.0088
13.2150 0.0093
13.2210 0.0099
13.2260 0.0105
13.2320 0.0112
13.2380 0.0118
13.2440 0.0126
13.2500 0.0134
13.2550 0.0142
13.2610 0.0151
13.2670 0.0162
13.2730 0.0172
13.2790 0.0183
13.2840 0.0195
13.2900 0.0208
13.2960 0.0221
13.3020 0.0235
13.3080 0.0251
13.3130 0.0268
13.3190 0.0284
13.3250 0.0303
13.3310 0.0323
13.3370 0.0343
13.3420 0.0365
13.3480 0.039
13.3540 0.0414
13.3600 0.0439
13.3660 0.0468
13.3710 0.0498
13.3770 0.0528
13.3830 0.0561
13.3890 0.0596
13.3950 0.0632
13.4000 0.0668
13.4060 0.071
13.4120 0.0752
13.4180 0.0794
13.4240 0.0839
13.4290 0.0888
13.4350 0.0936
13.4410 0.0985
13.4470 0.1039
13.4530 0.1092
13.4580 0.1146
13.4640 0.1203
13.4700 0.1261
13.4760 0.1319
13.4820 0.1377
13.4870 0.1438
13.4930 0.1498
13.4990 0.1559
13.5050 0.1621
13.5110 0.1684
13.5160 0.1748
13.5220 0.181
13.5280 0.1872
13.5340 0.1934
13.5400 0.1996
13.5450 0.2054
13.5510 0.2111
13.5570 0.2169
13.5630 0.2224
13.5690 0.2276
13.5740 0.2329
13.5800 0.2381
13.5860 0.2426
13.5920 0.2471
13.5980 0.2516
13.6030 0.2557
13.6090 0.2595
13.6150 0.2633
13.6210 0.2671
13.6270 0.2701
13.6320 0.2732
13.6380 0.2764
13.6440 0.279
13.6500 0.2815
13.6560 0.2839
13.6610 0.2863
13.6670 0.2882
13.6730 0.2901
13.6790 0.292
13.6850 0.2936
13.6900 0.2951
13.6960 0.2966
13.7020 0.2979
13.7080 0.299
13.7140 0.3001
13.7190 0.3013
13.7250 0.3021
13.7310 0.303
13.7370 0.3038
13.7430 0.3046
13.7480 0.3053
13.7540 0.3059
13.7600 0.3066
13.7660 0.3071
13.7720 0.3076
13.7770 0.3082
13.7830 0.3087
13.7890 0.3091
13.7950 0.3095
13.8010 0.31
13.8060 0.3104
13.8120 0.3108
13.8180 0.3111
13.8240 0.3115
13.8300 0.3118
13.8350 0.3122
13.8410 0.3125
13.8470 0.3128
13.8530 0.3131
13.8590 0.3134
13.8640 0.3137
13.8700 0.3139
