# Average Spectral response curve for LaSilla/GROND K band

#Detector Type
Energy counter

# Wave (microns)     Filter Response
1.8930 0.0001000000
1.8940 0.0001000000
1.8950 0.0001000000
1.8960 0.0001000000
1.8970 0.0001000000
1.8980 0.0001000000
1.8990 0.0001000000
1.9000 0.0001000000
1.9010 0.0001000000
1.9020 0.0001000000
1.9030 0.0001000000
1.9040 0.0001000000
1.9050 0.0001000000
1.9060 0.0001000000
1.9070 0.0001000000
1.9080 0.0002000000
1.9090 0.0002000000
1.9100 0.0002000000
1.9110 0.0002000000
1.9120 0.0002000000
1.9130 0.0002000000
1.9140 0.0002000000
1.9150 0.0002000000
1.9160 0.0003000000
1.9170 0.0003000000
1.9180 0.0003000000
1.9190 0.0003000000
1.9200 0.0003000000
1.9210 0.0004000000
1.9220 0.0004000000
1.9230 0.0004000000
1.9240 0.0004000000
1.9250 0.0005000000
1.9260 0.0005000000
1.9270 0.0006000000
1.9280 0.0006000000
1.9290 0.0007000000
1.9300 0.0007000000
1.9310 0.0007000000
1.9320 0.0008000000
1.9330 0.0009000000
1.9340 0.0009000000
1.9350 0.0010000000
1.9360 0.0011000000
1.9370 0.0012000000
1.9380 0.0013000000
1.9390 0.0014000000
1.9400 0.0015000000
1.9410 0.0016000000
1.9420 0.0017000000
1.9430 0.0018000000
1.9440 0.0020000000
1.9450 0.0022000000
1.9460 0.0023000000
1.9470 0.0025000000
1.9480 0.0027000000
1.9490 0.0030000000
1.9500 0.0032000000
1.9510 0.0035000000
1.9520 0.0037000000
1.9530 0.0040000000
1.9540 0.0044000000
1.9550 0.0048000000
1.9560 0.0052000000
1.9570 0.0056000000
1.9580 0.0060000000
1.9590 0.0066000000
1.9600 0.0071000000
1.9610 0.0077000000
1.9620 0.0083000000
1.9630 0.0090000000
1.9640 0.0098000000
1.9650 0.0106000000
1.9660 0.0115000000
1.9670 0.0125000000
1.9680 0.0136000000
1.9690 0.0147000000
1.9700 0.0159000000
1.9710 0.0173000000
1.9720 0.0188000000
1.9730 0.0203000000
1.9740 0.0220000000
1.9750 0.0239000000
1.9760 0.0259000000
1.9770 0.0279000000
1.9780 0.0302000000
1.9790 0.0327000000
1.9800 0.0354000000
1.9810 0.0383000000
1.9820 0.0413000000
1.9830 0.0445000000
1.9840 0.0481000000
1.9850 0.0520000000
1.9860 0.0561000000
1.9870 0.0606000000
1.9880 0.0652000000
1.9890 0.0700000000
1.9900 0.0751000000
1.9910 0.0808000000
1.9920 0.0870000000
1.9930 0.0931000000
1.9940 0.0996000000
1.9950 0.1065000000
1.9960 0.1138000000
1.9970 0.1216000000
1.9980 0.1298000000
1.9990 0.1384000000
2.0000 0.1471000000
2.0010 0.1561000000
2.0020 0.1657000000
2.0030 0.1756000000
2.0040 0.1857000000
2.0050 0.1959000000
2.0060 0.2065000000
2.0070 0.2173000000
2.0080 0.2289000000
2.0090 0.2409000000
2.0100 0.2524000000
2.0110 0.2640000000
2.0120 0.2761000000
2.0130 0.2886000000
2.0140 0.3009000000
2.0150 0.3132000000
2.0160 0.3253000000
2.0170 0.3375000000
2.0180 0.3496000000
2.0190 0.3620000000
2.0200 0.3742000000
2.0210 0.3859000000
2.0220 0.3973000000
2.0230 0.4087000000
2.0240 0.4200000000
2.0250 0.4315000000
2.0260 0.4423000000
2.0270 0.4523000000
2.0280 0.4619000000
2.0290 0.4716000000
2.0300 0.4810000000
2.0310 0.4901000000
2.0320 0.4985000000
2.0330 0.5059000000
2.0340 0.5131000000
2.0350 0.5203000000
2.0360 0.5277000000
2.0370 0.5343000000
2.0380 0.5400000000
2.0390 0.5448000000
2.0400 0.5496000000
2.0410 0.5545000000
2.0420 0.5590000000
2.0430 0.5631000000
2.0440 0.5662000000
2.0450 0.5690000000
2.0460 0.5718000000
2.0470 0.5749000000
2.0480 0.5773000000
2.0490 0.5794000000
