# Average Spectral response curve for LaSilla/GROND i band

#Detector Type
Energy counter

# Wave (microns)     Filter Response
0.6840               0.0000000000
0.6850               0.0000100000
0.6860               0.0000100000
0.6870               0.0000100000
0.6880               0.0000200000
0.6890               0.0000300000
0.6900               0.0000500000
0.6910               0.0000800000
0.6920               0.0001200000
0.6930               0.0001900000
0.6940               0.0003100000
0.6950               0.0004900000
0.6960               0.0007800000
0.6970               0.0012500000
0.6980               0.0019700000
0.6990               0.0030500000
0.7000               0.0046500000
0.7010               0.0069500000
0.7020               0.0101700000
0.7030               0.0145700000
0.7040               0.0204400000
0.7050               0.0281300000
0.7060               0.0380100000
0.7070               0.0505500000
0.7080               0.0662500000
0.7090               0.0857300000
0.7100               0.1099100000
0.7110               0.1396000000
0.7120               0.1752600000
0.7130               0.2169300000
0.7140               0.2648300000
0.7150               0.3172400000
0.7160               0.3717200000
0.7170               0.4261200000
0.7180               0.4772100000
0.7190               0.5227900000
0.7200               0.5611100000
0.7210               0.5928000000
0.7220               0.6177800000
0.7230               0.6362400000
0.7240               0.6493000000
0.7250               0.6574400000
0.7260               0.6644300000
0.7270               0.6699800000
0.7280               0.6728600000
0.7290               0.6748800000
0.7300               0.6765000000
0.7310               0.6789300000
0.7320               0.6804100000
0.7330               0.6821300000
0.7340               0.6834400000
0.7350               0.6842900000
0.7360               0.6858800000
0.7370               0.6867400000
0.7380               0.6873500000
0.7390               0.6867200000
0.7400               0.6868600000
0.7410               0.6868400000
0.7420               0.6856000000
0.7430               0.6847000000
0.7440               0.6832100000
0.7450               0.6821100000
0.7460               0.6802100000
0.7470               0.6772400000
0.7480               0.6750000000
0.7490               0.6719200000
0.7500               0.6699900000
0.7510               0.6678800000
0.7520               0.6660900000
0.7530               0.6647600000
0.7540               0.6624800000
0.7550               0.6610600000
0.7560               0.6594900000
0.7570               0.6591600000
0.7580               0.6576100000
0.7590               0.6580200000
0.7600               0.6584300000
0.7610               0.6572600000
0.7620               0.6566200000
0.7630               0.6562400000
0.7640               0.6574000000
0.7650               0.6579500000
0.7660               0.6571300000
0.7670               0.6573200000
0.7680               0.6568300000
0.7690               0.6570500000
0.7700               0.6557700000
0.7710               0.6560500000
0.7720               0.6556500000
0.7730               0.6537300000
0.7740               0.6532100000
0.7750               0.6505000000
0.7760               0.6483600000
0.7770               0.6450900000
0.7780               0.6420400000
0.7790               0.6393900000
0.7800               0.6358900000
0.7810               0.6327500000
0.7820               0.6282000000
0.7830               0.6249100000
0.7840               0.6213400000
0.7850               0.6171900000
0.7860               0.6141900000
0.7870               0.6100400000
0.7880               0.6063700000
0.7890               0.6023500000
0.7900               0.5998400000
0.7910               0.5968100000
0.7920               0.5926500000
0.7930               0.5892400000
0.7940               0.5847400000
0.7950               0.5803400000
0.7960               0.5753700000
0.7970               0.5704200000
0.7980               0.5651500000
0.7990               0.5588900000
0.8000               0.5521500000
0.8010               0.5434400000
0.8020               0.5349500000
0.8030               0.5269800000
0.8040               0.5171800000
0.8050               0.5070800000
0.8060               0.4958500000
0.8070               0.4853200000
0.8080               0.4732000000
0.8090               0.4604800000
0.8100               0.4471700000
0.8110               0.4320000000
0.8120               0.4165000000
0.8130               0.3991400000
0.8140               0.3808100000
0.8150               0.3593800000
0.8160               0.3355400000
0.8170               0.3086300000
0.8180               0.2785100000
0.8190               0.2462600000
0.8200               0.2118700000
0.8210               0.1777400000
0.8220               0.1445900000
0.8230               0.1144700000
0.8240               0.0884500000
0.8250               0.0666700000
0.8260               0.0492200000
0.8270               0.0358100000
0.8280               0.0257700000
0.8290               0.0183000000
0.8300               0.0129800000
0.8310               0.0091800000
0.8320               0.0064800000
0.8330               0.0045900000
0.8340               0.0032900000
0.8350               0.0023800000
0.8360               0.0017000000
0.8370               0.0012200000
0.8380               0.0009000000
0.8390               0.0006900000
0.8400               0.0005300000
0.8410               0.0004200000
0.8420               0.0003400000
0.8430               0.0002800000
0.8440               0.0002200000
0.8450               0.0001900000
0.8460               0.0001500000
0.8470               0.0001300000
0.8480               0.0001100000
0.8490               0.0001000000
0.8500               0.0000900000
0.8510               0.0000800000
0.8520               0.0000700000
0.8530               0.0000600000
0.8540               0.0000500000
0.8550               0.0000400000
0.8560               0.0000400000
0.8570               0.0000300000
0.8580               0.0000200000
0.8590               0.0000200000
0.8600               0.0000200000
0.8610               0.0000200000
0.8620               0.0000100000
0.8630               0.0000100000
0.8640               0.0000100000
0.8650               0.0000100000
0.8660               0.0000100000
0.8670               0.0000100000
0.8680               0.0000100000
0.8690               0.0000000000
