# Average Spectral response curve for IRAC 5.8 micron array

#Detector Type
Photon counter

# Wave (microns)     Filter Response
4.744210        0.000088
4.748560        0.000090
4.752910        0.000086
4.757270        0.000077
4.761640        0.000064
4.766010        0.000062
4.770400        0.000073
4.774790        0.000071
4.779190        0.000067
4.783600        0.000074
4.788020        0.000072
4.792440        0.000059
4.796880        0.000058
4.801320        0.000063
4.805770        0.000063
4.810230        0.000059
4.814690        0.000060
4.819170        0.000069
4.823650        0.000077
4.828140        0.000080
4.832640        0.000076
4.837150        0.000085
4.841660        0.000114
4.846190        0.000162
4.850720        0.000226
4.855270        0.000296
4.859820        0.000392
4.864370        0.000538
4.868940        0.000738
4.873520        0.000971
4.878100        0.001220
4.882700        0.001527
4.887300        0.001912
4.891910        0.002404
4.896530        0.003061
4.901160        0.003917
4.905790        0.004992
4.910440        0.006249
4.915090        0.007588
4.919760        0.008965
4.924430        0.010394
4.929110        0.011931
4.933800        0.013706
4.938500        0.015835
4.943210        0.018362
4.947920        0.021236
4.952650        0.024291
4.957380        0.027379
4.962130        0.030406
4.966880        0.033358
4.971640        0.036332
4.976410        0.039470
4.981190        0.042811
4.985980        0.046296
4.990780        0.049828
4.995590        0.053283
5.000410        0.056621
5.005230        0.059847
5.010070        0.062855
5.014920        0.065640
5.019770        0.068231
5.024630        0.070583
5.029510        0.072683
5.034390        0.074629
5.039280        0.076501
5.044190        0.078321
5.049100        0.080029
5.054020        0.081595
5.058950        0.083068
5.063890        0.084522
5.068840        0.085967
5.073800        0.087496
5.078770        0.089136
5.083750        0.090838
5.088740        0.092568
5.093740        0.094272
5.098740        0.095864
5.103760        0.097313
5.108790        0.098667
5.113830        0.099893
5.118880        0.100940
5.123940        0.101793
5.129000        0.102436
5.134080        0.102968
5.139170        0.103399
5.144270        0.103677
5.149380        0.103881
5.154500        0.104050
5.159630        0.104220
5.164760        0.104401
5.169910        0.104597
5.175070        0.104904
5.180240        0.105323
5.185420        0.105852
5.190610        0.106471
5.195810        0.107171
5.201030        0.107962
5.206250        0.108751
5.211480        0.109489
5.216720        0.110246
5.221980        0.110933
5.227240        0.111431
5.232520        0.111786
5.237800        0.112015
5.243100        0.112075
5.248400        0.112005
5.253720        0.111834
5.259050        0.111550
5.264390        0.111230
5.269740        0.110924
5.275100        0.110662
5.280470        0.110526
5.285850        0.110487
5.291250        0.110605
5.296650        0.110918
5.302070        0.111340
5.307500        0.111916
5.312930        0.112677
5.318380        0.113553
5.323840        0.114535
5.329310        0.115591
5.334800        0.116638
5.340290        0.117636
5.345800        0.118626
5.351310        0.119513
5.356840        0.120294
5.362380        0.121049
5.367930        0.121676
5.373500        0.122130
5.379070        0.122445
5.384660        0.122661
5.390250        0.122760
5.395860        0.122714
5.401480        0.122643
5.407110        0.122582
5.412760        0.122459
5.418420        0.122332
5.424080        0.122234
5.429760        0.122120
5.435450        0.122023
5.441160        0.122004
5.446870        0.122047
5.452600        0.122070
5.458340        0.122092
5.464090        0.122156
5.469860        0.122171
5.475630        0.122146
5.481420        0.122175
5.487220        0.122200
5.493030        0.122222
5.498860        0.122296
5.504700        0.122407
5.510550        0.122559
5.516410        0.122844
5.522280        0.123288
5.528170        0.123827
5.534070        0.124459
5.539980        0.125192
5.545910        0.126019
5.551840        0.126827
5.557800        0.127524
5.563760        0.128143
5.569730        0.128651
5.575720        0.129029
5.581730        0.129233
5.587740        0.129271
5.593770        0.129288
5.599810        0.129327
5.605860        0.129376
5.611930        0.129430
5.618010        0.129614
5.624100        0.130023
